Kraj,Rok,HDP
Jihomoravský kraj,1995,166573.0
Jihomoravský kraj,1996,191707.0
Jihomoravský kraj,1997,204071.0
Jihomoravský kraj,1998,222518.0
Jihomoravský kraj,1999,228849.0
Jihomoravský kraj,2000,241346.0
Jihomoravský kraj,2001,260867.0
Jihomoravský kraj,2002,269934.0
Jihomoravský kraj,2003,285696.0
Jihomoravský kraj,2004,307955.0
Jihomoravský kraj,2005,325321.0
Jihomoravský kraj,2006,349463.0
Jihomoravský kraj,2007,391334.0
Jihomoravský kraj,2008,420478.0
Jihomoravský kraj,2009,407121.0
Jihomoravský kraj,2010,417529.0
Jihomoravský kraj,2011,430316.0
Jihomoravský kraj,2012,436501.0
Jihomoravský kraj,2013,453383.0
Jihomoravský kraj,2014,462279.0
Jihomoravský kraj,2015,494268.0
Jihomoravský kraj,2016,506374.0
Jihomoravský kraj,2017,539131.0
Jihomoravský kraj,2018,582222.0
Jihomoravský kraj,2019,627206.0
Jihomoravský kraj,2020,639438.0
Jihomoravský kraj,2021,700947.0
Jihomoravský kraj,2022,770044.0
Jihomoravský kraj,2023,839165.0
Jihomoravský kraj,2024,875716.0
Jihočeský kraj,1995,93761.0
Jihočeský kraj,1996,107612.0
Jihočeský kraj,1997,115770.0
Jihočeský kraj,1998,127101.0
Jihočeský kraj,1999,131568.0
Jihočeský kraj,2000,137868.0
Jihočeský kraj,2001,146389.0
Jihočeský kraj,2002,150515.0
Jihočeský kraj,2003,154759.0
Jihočeský kraj,2004,167420.0
Jihočeský kraj,2005,180067.0
Jihočeský kraj,2006,190891.0
Jihočeský kraj,2007,196233.0
Jihočeský kraj,2008,202476.0
Jihočeský kraj,2009,200785.0
Jihočeský kraj,2010,202650.0
Jihočeský kraj,2011,203226.0
Jihočeský kraj,2012,208373.0
Jihočeský kraj,2013,209450.0
Jihočeský kraj,2014,216015.0
Jihočeský kraj,2015,227521.0
Jihočeský kraj,2016,234602.0
Jihočeský kraj,2017,254336.0
Jihočeský kraj,2018,267409.0
Jihočeský kraj,2019,287909.0
Jihočeský kraj,2020,289906.0
Jihočeský kraj,2021,309566.0
Jihočeský kraj,2022,350763.0
Jihočeský kraj,2023,381503.0
Jihočeský kraj,2024,390015.0
Karlovarský kraj,1995,45098.0
Karlovarský kraj,1996,49216.0
Karlovarský kraj,1997,51673.0
Karlovarský kraj,1998,55716.0
Karlovarský kraj,1999,57200.0
Karlovarský kraj,2000,60970.0
Karlovarský kraj,2001,63355.0
Karlovarský kraj,2002,65399.0
Karlovarský kraj,2003,68140.0
Karlovarský kraj,2004,71012.0
Karlovarský kraj,2005,73564.0
Karlovarský kraj,2006,75645.0
Karlovarský kraj,2007,78696.0
Karlovarský kraj,2008,82974.0
Karlovarský kraj,2009,83247.0
Karlovarský kraj,2010,81659.0
Karlovarský kraj,2011,81820.0
Karlovarský kraj,2012,80696.0
Karlovarský kraj,2013,81284.0
Karlovarský kraj,2014,83144.0
Karlovarský kraj,2015,85311.0
Karlovarský kraj,2016,87728.0
Karlovarský kraj,2017,93312.0
Karlovarský kraj,2018,95410.0
Karlovarský kraj,2019,99845.0
Karlovarský kraj,2020,96773.0
Karlovarský kraj,2021,101159.0
Karlovarský kraj,2022,113131.0
Karlovarský kraj,2023,126932.0
Karlovarský kraj,2024,135184.0
Královéhradecký kraj,1995,79685.0
Královéhradecký kraj,1996,91295.0
Královéhradecký kraj,1997,100215.0
Královéhradecký kraj,1998,107912.0
Královéhradecký kraj,1999,112424.0
Královéhradecký kraj,2000,120262.0
Královéhradecký kraj,2001,127847.0
Královéhradecký kraj,2002,128906.0
Královéhradecký kraj,2003,132992.0
Královéhradecký kraj,2004,144566.0
Královéhradecký kraj,2005,150817.0
Královéhradecký kraj,2006,157630.0
Královéhradecký kraj,2007,171991.0
Královéhradecký kraj,2008,177103.0
Královéhradecký kraj,2009,176687.0
Královéhradecký kraj,2010,178696.0
Královéhradecký kraj,2011,181111.0
Královéhradecký kraj,2012,181525.0
Královéhradecký kraj,2013,185409.0
Královéhradecký kraj,2014,194101.0
Královéhradecký kraj,2015,207781.0
Královéhradecký kraj,2016,219485.0
Královéhradecký kraj,2017,239936.0
Královéhradecký kraj,2018,250666.0
Královéhradecký kraj,2019,270628.0
Královéhradecký kraj,2020,271796.0
Královéhradecký kraj,2021,286597.0
Královéhradecký kraj,2022,307147.0
Královéhradecký kraj,2023,341203.0
Královéhradecký kraj,2024,355874.0
Liberecký kraj,1995,61930.0
Liberecký kraj,1996,69436.0
Liberecký kraj,1997,76024.0
Liberecký kraj,1998,81255.0
Liberecký kraj,1999,86077.0
Liberecký kraj,2000,91600.0
Liberecký kraj,2001,98149.0
Liberecký kraj,2002,100265.0
Liberecký kraj,2003,97119.0
Liberecký kraj,2004,103861.0
Liberecký kraj,2005,114745.0
Liberecký kraj,2006,121182.0
Liberecký kraj,2007,126456.0
Liberecký kraj,2008,127432.0
Liberecký kraj,2009,123041.0
Liberecký kraj,2010,127447.0
Liberecký kraj,2011,129952.0
Liberecký kraj,2012,131372.0
Liberecký kraj,2013,133756.0
Liberecký kraj,2014,141474.0
Liberecký kraj,2015,149327.0
Liberecký kraj,2016,154920.0
Liberecký kraj,2017,165976.0
Liberecký kraj,2018,174266.0
Liberecký kraj,2019,186337.0
Liberecký kraj,2020,184445.0
Liberecký kraj,2021,192149.0
Liberecký kraj,2022,208518.0
Liberecký kraj,2023,232715.0
Liberecký kraj,2024,253129.0
Moravskoslezský kraj,1995,175583.0
Moravskoslezský kraj,1996,203160.0
Moravskoslezský kraj,1997,212406.0
Moravskoslezský kraj,1998,222595.0
Moravskoslezský kraj,1999,224482.0
Moravskoslezský kraj,2000,231132.0
Moravskoslezský kraj,2001,249077.0
Moravskoslezský kraj,2002,253831.0
Moravskoslezský kraj,2003,264550.0
Moravskoslezský kraj,2004,298608.0
Moravskoslezský kraj,2005,330346.0
Moravskoslezský kraj,2006,346722.0
Moravskoslezský kraj,2007,379794.0
Moravskoslezský kraj,2008,395643.0
Moravskoslezský kraj,2009,373955.0
Moravskoslezský kraj,2010,384685.0
Moravskoslezský kraj,2011,399789.0
Moravskoslezský kraj,2012,403262.0
Moravskoslezský kraj,2013,391594.0
Moravskoslezský kraj,2014,417388.0
Moravskoslezský kraj,2015,436449.0
Moravskoslezský kraj,2016,452949.0
Moravskoslezský kraj,2017,475684.0
Moravskoslezský kraj,2018,504553.0
Moravskoslezský kraj,2019,517077.0
Moravskoslezský kraj,2020,499685.0
Moravskoslezský kraj,2021,549061.0
Moravskoslezský kraj,2022,608674.0
Moravskoslezský kraj,2023,647006.0
Moravskoslezský kraj,2024,688246.0
Olomoucký kraj,1995,84057.0
Olomoucký kraj,1996,98413.0
Olomoucký kraj,1997,102787.0
Olomoucký kraj,1998,107669.0
Olomoucký kraj,1999,112561.0
Olomoucký kraj,2000,119316.0
Olomoucký kraj,2001,126876.0
Olomoucký kraj,2002,126800.0
Olomoucký kraj,2003,133710.0
Olomoucký kraj,2004,146587.0
Olomoucký kraj,2005,149558.0
Olomoucký kraj,2006,156905.0
Olomoucký kraj,2007,170657.0
Olomoucký kraj,2008,178170.0
Olomoucký kraj,2009,174637.0
Olomoucký kraj,2010,180152.0
Olomoucký kraj,2011,186263.0
Olomoucký kraj,2012,187493.0
Olomoucký kraj,2013,188361.0
Olomoucký kraj,2014,198261.0
Olomoucký kraj,2015,211513.0
Olomoucký kraj,2016,220796.0
Olomoucký kraj,2017,238367.0
Olomoucký kraj,2018,250650.0
Olomoucký kraj,2019,268608.0
Olomoucký kraj,2020,271375.0
Olomoucký kraj,2021,292689.0
Olomoucký kraj,2022,322491.0
Olomoucký kraj,2023,350248.0
Olomoucký kraj,2024,378753.0
Pardubický kraj,1995,70474.0
Pardubický kraj,1996,79321.0
Pardubický kraj,1997,85849.0
Pardubický kraj,1998,94455.0
Pardubický kraj,1999,96375.0
Pardubický kraj,2000,101357.0
Pardubický kraj,2001,108811.0
Pardubický kraj,2002,112032.0
Pardubický kraj,2003,116919.0
Pardubický kraj,2004,125315.0
Pardubický kraj,2005,129798.0
Pardubický kraj,2006,142353.0
Pardubický kraj,2007,156460.0
Pardubický kraj,2008,158577.0
Pardubický kraj,2009,154106.0
Pardubický kraj,2010,158106.0
Pardubický kraj,2011,165494.0
Pardubický kraj,2012,156987.0
Pardubický kraj,2013,160414.0
Pardubický kraj,2014,170982.0
Pardubický kraj,2015,181108.0
Pardubický kraj,2016,189336.0
Pardubický kraj,2017,205417.0
Pardubický kraj,2018,216136.0
Pardubický kraj,2019,228909.0
Pardubický kraj,2020,235398.0
Pardubický kraj,2021,244510.0
Pardubický kraj,2022,279455.0
Pardubický kraj,2023,305662.0
Pardubický kraj,2024,330253.0
Plzeňský kraj,1995,83503.0
Plzeňský kraj,1996,96898.0
Plzeňský kraj,1997,101693.0
Plzeňský kraj,1998,108398.0
Plzeňský kraj,1999,112814.0
Plzeňský kraj,2000,120413.0
Plzeňský kraj,2001,130677.0
Plzeňský kraj,2002,134812.0
Plzeňský kraj,2003,142930.0
Plzeňský kraj,2004,160809.0
Plzeňský kraj,2005,164712.0
Plzeňský kraj,2006,180952.0
Plzeňský kraj,2007,175012.0
Plzeňský kraj,2008,188732.0
Plzeňský kraj,2009,193031.0
Plzeňský kraj,2010,199069.0
Plzeňský kraj,2011,203371.0
Plzeňský kraj,2012,198743.0
Plzeňský kraj,2013,208366.0
Plzeňský kraj,2014,220030.0
Plzeňský kraj,2015,232114.0
Plzeňský kraj,2016,241475.0
Plzeňský kraj,2017,257646.0
Plzeňský kraj,2018,270159.0
Plzeňský kraj,2019,284642.0
Plzeňský kraj,2020,281830.0
Plzeňský kraj,2021,303188.0
Plzeňský kraj,2022,329490.0
Plzeňský kraj,2023,366088.0
Plzeňský kraj,2024,389683.0
Praha,1995,317189.0
Praha,1996,367258.0
Praha,1997,409036.0
Praha,1998,467540.0
Praha,1999,503105.0
Praha,2000,540126.0
Praha,2001,593446.0
Praha,2002,647052.0
Praha,2003,692610.0
Praha,2004,760912.0
Praha,2005,827653.0
Praha,2006,890733.0
Praha,2007,1006302.0
Praha,2008,1063678.0
Praha,2009,1038068.0
Praha,2010,1079955.0
Praha,2011,1057358.0
Praha,2012,1063826.0
Praha,2013,1085388.0
Praha,2014,1136579.0
Praha,2015,1218759.0
Praha,2016,1276090.0
Praha,2017,1360258.0
Praha,2018,1466288.0
Praha,2019,1577929.0
Praha,2020,1552162.0
Praha,2021,1710117.0
Praha,2022,1952106.0
Praha,2023,2093632.0
Praha,2024,2175296.0
Středočeský kraj,1995,160915.0
Středočeský kraj,1996,182979.0
Středočeský kraj,1997,198970.0
Středočeský kraj,1998,226855.0
Středočeský kraj,1999,244427.0
Středočeský kraj,2000,262236.0
Středočeský kraj,2001,283173.0
Středočeský kraj,2002,300904.0
Středočeský kraj,2003,307879.0
Středočeský kraj,2004,335734.0
Středočeský kraj,2005,346263.0
Středočeský kraj,2006,384773.0
Středočeský kraj,2007,436925.0
Středočeský kraj,2008,447787.0
Středočeský kraj,2009,429371.0
Středočeský kraj,2010,436435.0
Středočeský kraj,2011,460276.0
Středočeský kraj,2012,468097.0
Středočeský kraj,2013,466647.0
Středočeský kraj,2014,502248.0
Středočeský kraj,2015,535372.0
Středočeský kraj,2016,572592.0
Středočeský kraj,2017,618214.0
Středočeský kraj,2018,644108.0
Středočeský kraj,2019,720988.0
Středočeský kraj,2020,693829.0
Středočeský kraj,2021,745899.0
Středočeský kraj,2022,833853.0
Středočeský kraj,2023,920569.0
Středočeský kraj,2024,997744.0
Vysočina,1995,68062.0
Vysočina,1996,77867.0
Vysočina,1997,81497.0
Vysočina,1998,88685.0
Vysočina,1999,93924.0
Vysočina,2000,100436.0
Vysočina,2001,112360.0
Vysočina,2002,115065.0
Vysočina,2003,119283.0
Vysočina,2004,126591.0
Vysočina,2005,134397.0
Vysočina,2006,144251.0
Vysočina,2007,157295.0
Vysočina,2008,156513.0
Vysočina,2009,155435.0
Vysočina,2010,156386.0
Vysočina,2011,162463.0
Vysočina,2012,166054.0
Vysočina,2013,167804.0
Vysočina,2014,176133.0
Vysočina,2015,183102.0
Vysočina,2016,190589.0
Vysočina,2017,204424.0
Vysočina,2018,210203.0
Vysočina,2019,227777.0
Vysočina,2020,235043.0
Vysočina,2021,253625.0
Vysočina,2022,278116.0
Vysočina,2023,309746.0
Vysočina,2024,319667.0
Zlínský kraj,1995,78835.0
Zlínský kraj,1996,88928.0
Zlínský kraj,1997,100049.0
Zlínský kraj,1998,106066.0
Zlínský kraj,1999,107767.0
Zlínský kraj,2000,113826.0
Zlínský kraj,2001,123153.0
Zlínský kraj,2002,126437.0
Zlínský kraj,2003,132023.0
Zlínský kraj,2004,140257.0
Zlínský kraj,2005,150651.0
Zlínský kraj,2006,164333.0
Zlínský kraj,2007,170360.0
Zlínský kraj,2008,190086.0
Zlínský kraj,2009,184638.0
Zlínský kraj,2010,185681.0
Zlínský kraj,2011,190801.0
Zlínský kraj,2012,190535.0
Zlínský kraj,2013,194280.0
Zlínský kraj,2014,209523.0
Zlínský kraj,2015,218969.0
Zlínský kraj,2016,226979.0
Zlínský kraj,2017,242409.0
Zlínský kraj,2018,250452.0
Zlínský kraj,2019,270933.0
Zlínský kraj,2020,266897.0
Zlínský kraj,2021,283466.0
Zlínský kraj,2022,309435.0
Zlínský kraj,2023,341094.0
Zlínský kraj,2024,353426.0
Ústecký kraj,1995,121926.0
Ústecký kraj,1996,136466.0
Ústecký kraj,1997,142383.0
Ústecký kraj,1998,152119.0
Ústecký kraj,1999,155702.0
Ústecký kraj,2000,158812.0
Ústecký kraj,2001,167394.0
Ústecký kraj,2002,172514.0
Ústecký kraj,2003,184587.0
Ústecký kraj,2004,198150.0
Ústecký kraj,2005,210601.0
Ústecký kraj,2006,224419.0
Ústecký kraj,2007,239114.0
Ústecký kraj,2008,247915.0
Ústecký kraj,2009,251383.0
Ústecký kraj,2010,244502.0
Ústecký kraj,2011,243115.0
Ústecký kraj,2012,244922.0
Ústecký kraj,2013,242875.0
Ústecký kraj,2014,249834.0
Ústecký kraj,2015,270219.0
Ústecký kraj,2016,269115.0
Ústecký kraj,2017,284234.0
Ústecký kraj,2018,293251.0
Ústecký kraj,2019,320081.0
Ústecký kraj,2020,309741.0
Ústecký kraj,2021,334782.0
Ústecký kraj,2022,386649.0
Ústecký kraj,2023,404092.0
Ústecký kraj,2024,415172.0
