Kraj,Rok, Administrativní a podpůrné činnosti, Doprava a skladování, Informační a komunikační činnosti," Kulturní, zábavní a rekreační činnosti", Ostatní činnosti, Peněžnictví a pojišťovnictví," Profesní, vědecké a technické činnosti", Stavebnictví, Těžba a dobývání," Ubytování, stravování a pohostinství", Velkoobchod a maloobchod; opravy a údržba motorových vozidel, Veřejná správa a obrana; povinné sociální zabezpečení, Vzdělávání," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu", Zdravotní a sociální péče," Zemědělství, lesnictví, rybářství", Zpracovatelský průmysl," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi", Činnosti v oblasti nemovitostí
Olomouckáý kraj,2019,16534,28458,38427,25278,19671,39206,30857,28451,37724,17504,26948,35677,31174,40114,35045,26972,30450,26670,24872
Olomouckáý kraj,2020,16027,29221,40631,26630,20954,39409,31551,30052,37228,17112,27990,37375,33758,43141,39741,28227,31147,28042,24978
Olomouckáý kraj,2021,16851,31536,42890,27603,22841,41635,33227,31133,36252,19168,29623,37894,36041,44809,43241,29503,33187,29670,26071
Olomouckáý kraj,2022,17934,33465,45601,27158,22851,42329,33904,32774,39160,19799,30959,39073,36359,49323,40313,31493,35383,32003,28269
Olomouckáý kraj,2023,17913,34821,49968,29337,24732,44864,36386,34510,43037,21121,33463,42346,37688,52968,42398,33093,37797,34813,29490
Olomouckáý kraj,2024,20689,38167,54624,32116,27439,52793,38370,35676,47279,22837,36344,43341,38545,54416,45653,35264,40581,38010,31698
Pardubický kraj,2005,10165,15658,22776,13697,12459,28091,19715,15442,17523,9026,14489,19302,16565,26576,15511,13416,15924,16001,13822
Pardubický kraj,2006,11694,16895,23938,14792,12421,29467,19666,16742,18686,9482,15109,20199,17624,27091,16864,14029,17183,16512,14893
Pardubický kraj,2007,12173,17917,25198,15283,13496,30875,21690,17854,20665,10275,17525,21470,18584,28698,17469,15622,18323,17810,16296
Pardubický kraj,2008,12435,19890,27238,16865,13534,36400,22985,19631,21689,10633,17360,22651,19376,31877,17765,17412,19705,18768,18684
Pardubický kraj,2009,12590,20002,31826,16838,14441,34514,23759,20369,22840,10463,17402,22063,20793,33874,19575,17233,20153,19761,18796
Pardubický kraj,2010,11459,20219,27025,16836,14474,34208,23527,19571,23970,11140,17323,22108,20153,34184,20075,17092,20926,20307,19068
Pardubický kraj,2011,11877,19728,29209,17039,15170,35533,23962,20339,21692,11189,17764,23418,20657,33026,20700,18351,21839,20689,19528
Pardubický kraj,2012,11874,21076,29720,16770,15448,37265,25108,20229,23102,11409,19181,24001,21220,34596,20823,19287,22378,21127,22561
Pardubický kraj,2013,11866,21464,30293,17428,14574,34436,24502,20292,22340,11533,18463,23564,21182,35667,21078,20343,22935,21839,19680
Pardubický kraj,2014,12223,22111,30474,17779,15379,36083,24942,21010,24814,12081,18766,24836,21672,39608,21387,21414,23840,21853,18320
Pardubický kraj,2015,13108,22723,30595,19779,16018,34282,25270,22012,27502,12553,19983,25703,21990,36852,23873,21550,24486,22172,21482
Pardubický kraj,2016,14682,23209,30082,21049,17380,37024,26431,23093,30375,12678,20903,27384,23016,37471,23924,22522,25884,23738,22455
Pardubický kraj,2017,16718,25339,31725,23152,17720,36275,28331,24649,28897,14931,22754,29520,24488,38624,25550,24377,27565,25135,21423
Pardubický kraj,2018,18844,26570,34729,23897,20117,40393,28604,26716,32292,16458,24593,32475,27042,41179,28175,26076,29581,26611,23742
Pardubický kraj,2019,19648,28711,34606,26082,20797,40667,30361,28756,37840,17882,26152,35056,30542,43384,30426,27918,31335,28929,24746
Pardubický kraj,2020,20383,29503,36560,26775,22283,40914,31088,30659,40316,18111,27058,36845,33623,44887,33811,28828,32098,31006,24972
Pardubický kraj,2021,20678,31315,38769,27424,22555,43446,32533,32063,39198,19827,29260,36970,36192,46429,37768,29984,33603,31819,25210
Pardubický kraj,2022,21212,33378,44067,28458,21782,48115,33875,32365,38143,20120,30435,38447,36249,50774,34495,31607,35299,34480,27686
Pardubický kraj,2023,24575,35699,46781,30407,23528,50866,36332,35245,40417,21087,31888,41723,38088,57798,36769,33972,38224,37888,29097
Pardubický kraj,2024,25220,37517,48426,32915,28339,55360,38621,38691,43029,22826,35092,42804,38587,55545,42085,36001,40967,41126,37422
Plzeňský kraj,2005,11888,16403,28414,15114,11633,26776,18739,15734,18579,8822,14342,21514,16984,25694,17526,14081,17299,15965,14965
Plzeňský kraj,2006,12692,17527,33338,16104,12659,29299,19502,16761,20854,9388,15323,22498,18124,27143,19243,15177,18903,17416,15232
Plzeňský kraj,2007,13448,18976,32149,16923,13305,29502,20516,18835,24231,10244,16704,23882,19195,27817,20195,16778,20158,18618,16899
Plzeňský kraj,2008,13553,20111,32566,17671,13770,32421,22544,19907,25670,10843,18070,25519,19690,31900,22035,17713,21987,20352,18522
Plzeňský kraj,2009,14810,20792,36760,20183,14676,36117,35726,21727,25448,10120,18334,25492,20292,33240,23759,17780,22722,20745,19281
Plzeňský kraj,2010,14638,20789,35699,19352,13790,36387,23452,21849,26787,10691,19845,25216,20683,34053,24358,18891,23332,22556,18312
Plzeňský kraj,2011,14631,20806,35365,18654,14964,38194,24832,21602,27014,10660,19477,24862,21048,36041,26151,19536,24170,21670,20417
Plzeňský kraj,2012,14978,21619,38266,18607,15012,39574,24639,23555,27555,10529,19948,25598,21365,36979,26001,20034,24929,22686,19606
Plzeňský kraj,2013,14627,21822,38152,20046,15290,44241,24089,22418,26961,10957,19483,26427,21542,36870,25953,20888,25179,22841,18967
Plzeňský kraj,2014,14922,21926,38064,21714,15910,36186,25868,22735,27829,11534,20410,26561,22174,36380,26778,21699,26071,23284,17835
Plzeňský kraj,2015,14956,23019,38411,21917,16855,34821,25904,23988,28018,12230,21487,28050,22455,36452,27828,22478,27052,23831,18987
Plzeňský kraj,2016,15485,23608,39508,23731,18562,39231,27525,26002,30555,12937,22984,29061,23516,37191,28917,23290,28300,24629,20235
Plzeňský kraj,2017,17247,26358,42612,26309,19521,40680,30645,26727,31960,14995,25046,31471,25219,39986,31006,24897,30861,26936,21971
Plzeňský kraj,2018,19455,28448,46950,27385,20458,42740,32683,28897,32594,16611,26851,34729,28087,41655,33755,26893,32804,28429,23457
Plzeňský kraj,2019,20100,30346,48201,30868,22641,44338,34921,30579,14908,18263,28373,36118,31341,45222,36391,29449,35032,31434,26675
Plzeňský kraj,2020,20250,30774,51188,30504,23162,44835,35353,31462,35355,17786,28981,39089,33477,47230,40975,31152,35129,32245,26212
Plzeňský kraj,2021,21356,32343,50916,29594,23738,46128,39090,32412,37480,19853,30173,39188,35911,49300,45828,31882,37038,33750,25195
Plzeňský kraj,2022,20493,34587,55314,32122,23724,50116,39152,33016,37153,19994,32222,40729,36221,53402,43027,32369,38791,35786,29589
Plzeňský kraj,2023,21819,36220,58702,34987,25503,53966,43739,35325,41015,21421,34099,43792,37886,56490,45429,34491,42023,39012,30915
Plzeňský kraj,2024,23679,38227,59833,38588,28001,58814,46840,38231,42438,23847,35709,44885,38870,61113,48221,36416,44955,41344,32102
Praha,2005,13929,25033,38985,17140,16805,44047,27204,21051,27003,12866,21622,25314,18647,33462,19107,14676,21827,20592,19701
Praha,2006,15134,24843,42506,18096,17627,46784,28406,22709,16778,13867,24109,26643,19687,38808,20956,14481,23621,22682,20381
Praha,2007,15830,25624,45211,18891,18492,49766,31027,23981,21206,14287,25810,29214,21342,44202,22163,14903,24952,24842,23156
Praha,2008,17989,28265,48764,20346,18749,52700,35514,26058,20111,15028,27343,29918,21578,50683,23077,16569,26395,25042,22478
Praha,2009,18442,29404,49477,20636,19443,53737,37219,26239,28388,14922,28546,31445,23083,55377,24763,16725,27277,27054,23507
Praha,2010,19165,28805,51238,22264,19548,54223,39214,26837,42636,16034,29708,31698,22704,55706,25367,15845,28821,27940,23780
Praha,2011,18937,27753,53774,20321,20567,58596,38905,27485,33204,15768,30526,30743,23257,57262,26521,16201,29982,28399,24474
Praha,2012,18863,29215,55586,21735,22099,62627,39255,26538,36058,15647,30454,31335,23794,64017,27657,15214,30360,28243,22596
Praha,2013,18370,29187,53883,22141,21154,55093,37933,25716,32922,15891,29703,31499,24015,57293,27186,14887,29888,27739,21708
Praha,2014,18947,29553,56342,23082,22387,59101,38428,26214,31930,16093,30605,32881,24642,56993,27810,14779,31251,28008,22039
Praha,2015,19096,29952,57940,24374,23184,58111,39146,27694,33767,16927,31836,34471,25279,53481,29231,16705,31617,29207,24330
Praha,2016,20011,30698,59549,25805,25007,59803,40262,28489,45404,17630,33536,36433,26030,53471,30714,17292,33050,30844,26022
Praha,2017,20759,32483,62108,28803,23401,62839,42203,29416,39486,19619,35629,39689,27527,56815,33035,17946,35096,32708,26215
Praha,2018,21734,35191,66306,31633,25087,66201,45050,32099,36995,21184,37426,43182,30691,60402,35689,19215,37430,34029,28297
Praha,2019,23654,36871,69436,35215,26154,69488,47441,33310,39765,22670,39891,45628,34450,66119,38782,20856,39441,36386,30945
Praha,2020,24898,37134,72724,37214,27252,71993,49604,33912,43601,20663,40896,47616,35391,70420,42913,21418,40749,36612,31076
Praha,2021,25645,39255,75465,35435,29330,71907,52001,34580,50770,22353,43888,48053,37303,72415,46511,21049,41721,38518,32526
Praha,2022,27956,42404,80689,37134,30251,79401,55213,35678,57734,24103,46314,49559,38640,78314,44292,21825,42814,39706,39011
Praha,2023,29405,45777,86993,41309,32474,83819,58621,37606,59262,26112,49307,53019,40555,98758,47669,20618,47277,42910,39696
Praha,2024,32824,50567,93273,43555,34593,87071,63422,43195,76568,28909,52673,54174,42295,101875,52080,23003,52924,47794,44014
Středočeský kraj,2005,11261,16648,21374,13540,11170,26754,19473,15113,18889,9026,16910,20809,16196,24577,15752,13901,19203,16933,12929
Středočeský kraj,2006,11174,18527,23087,14134,12475,27808,20088,16072,19340,9736,17895,21907,17177,25636,17182,14951,20590,18040,13495
Středočeský kraj,2007,11584,21731,24717,15030,14551,29181,21779,17265,21072,10091,19372,23372,18174,27873,17618,16670,22482,18543,14731
Středočeský kraj,2008,12185,22959,28299,16446,15208,31065,23953,19170,23214,10607,21281,23386,18933,29823,19036,18795,24167,20048,17013
Středočeský kraj,2009,12991,24197,31930,17352,17110,32702,23698,20468,23468,10606,20666,23089,20222,32621,20461,18306,24592,21554,16231
Středočeský kraj,2010,13562,24718,27104,16776,16237,33246,24439,20183,23422,11513,21638,23853,20128,32770,21276,18786,25936,21491,16814
Středočeský kraj,2011,12698,23955,29745,17510,17477,34764,25767,21022,24020,11549,22667,23600,20157,33508,21800,19269,27171,21631,17473
Středočeský kraj,2012,14211,24682,29724,17497,17921,33754,25641,21271,25001,11417,22648,24233,20723,35839,21616,20116,28176,22465,18213
Středočeský kraj,2013,14767,24382,28880,18494,17575,33372,25526,20703,24187,11769,22982,24166,20944,37144,21752,21004,28782,22829,17887
Středočeský kraj,2014,17264,25174,30331,19025,17185,34181,26704,21184,25465,12209,23463,25091,21674,37844,22140,22057,29561,23135,17860
Středočeský kraj,2015,17004,25796,30272,19842,17438,34628,27711,22102,26401,12963,24999,26423,22104,37197,22928,21912,30612,23637,19602
Středočeský kraj,2016,17523,27412,31891,20903,18778,36255,29518,23657,27188,13849,25982,27785,23254,39418,24079,23327,31772,24676,20363
Středočeský kraj,2017,18192,29092,34008,22519,18784,37772,31061,25030,29332,15504,27849,30243,24882,41499,26184,24713,34432,26331,20873
Středočeský kraj,2018,21615,30944,36671,24671,21011,39610,32687,26776,29978,17414,29939,33086,27563,44284,29077,25958,37823,29064,22968
Středočeský kraj,2019,23010,33502,40540,27373,23033,43626,35906,28819,31674,18993,32003,35408,31161,47748,31490,28009,40840,30630,25294
Středočeský kraj,2020,25271,33208,37806,27345,23590,43948,36781,29717,32797,19203,33105,37283,33560,50444,35980,29117,41314,31885,25645
Středočeský kraj,2021,25917,34381,41830,29540,23912,47961,37366,31114,34620,20665,34777,37976,36110,52334,39678,30171,42825,33263,27891
Středočeský kraj,2022,27315,36507,42415,30234,24257,50888,38670,31613,37191,21347,36498,39791,36410,56058,36925,31312,46250,35388,31230
Středočeský kraj,2023,29143,39884,46349,34216,26051,54201,41887,33707,41600,22235,39231,42418,38401,62167,39348,33291,49712,38262,31722
Středočeský kraj,2024,31552,42567,55165,36199,29017,56231,43762,36035,45508,24055,41029,43612,38501,63368,42987,35356,54043,41382,35322
Vysočina,2005,9631,16299,26647,13176,12735,24546,18335,15064,19428,9021,13672,19374,16112,28772,15960,13343,16644,16343,14034
Vysočina,2006,9979,16796,25165,14191,13650,26139,18422,16090,20644,9409,14373,20751,17264,34747,17283,14250,17898,17078,14497
Vysočina,2007,11312,18182,29064,15602,14889,27075,18831,17960,21782,9727,15883,22111,18195,36743,18461,15429,19290,18437,15405
Vysočina,2008,12835,19454,34936,16100,14301,29740,19379,19561,23783,10019,16711,23512,18977,41040,19048,17267,20944,20213,15420
Vysočina,2009,12463,21486,35291,16690,14666,29916,20510,20784,24279,10180,16634,22318,20248,43854,20870,17101,20536,20810,16255
Vysočina,2010,13062,19920,29022,15854,13610,29401,19769,21171,25186,11266,16811,24840,19523,43471,21002,17152,21560,21176,14275
Vysočina,2011,12627,21864,30320,16097,15797,30995,20885,21594,25400,11312,17668,23988,20166,42469,21861,18114,22137,21282,16088
Vysočina,2012,14000,20706,32489,16766,14798,29919,20876,22306,26174,11312,18019,25001,20520,43623,22237,19076,22623,21580,16417
Vysočina,2013,13664,20650,30012,17570,15165,30394,22182,21554,27325,11495,18189,24505,19862,45442,22481,20303,22943,21765,16957
Vysočina,2014,14772,21893,30443,18201,15790,30817,21358,22158,27516,11664,18494,25255,20770,46226,22759,21638,24070,22795,17857
Vysočina,2015,14221,21893,32063,18469,16954,30151,24030,23398,27676,12480,19410,26477,21384,47111,23821,21750,24871,23264,17933
Vysočina,2016,16322,22860,33467,19377,17931,33130,25799,24126,28689,13270,21449,28049,22530,49071,25134,22632,26177,23324,19293
Vysočina,2017,17610,25586,35791,20656,18118,36290,27373,26025,30282,15509,22421,30321,24042,51353,27718,24153,27967,24384,19495
Vysočina,2018,19009,27058,38412,22748,19406,39172,29670,28549,32784,16208,24351,33354,26485,53753,30622,26122,30016,26115,21227
Vysočina,2019,21830,28926,41745,25417,21035,41871,29696,30560,33696,18575,26320,35586,30133,55182,33316,28376,31461,28582,23730
Vysočina,2020,19175,30002,40857,25894,21307,42922,31770,31652,35023,17755,27139,37203,33347,59260,37656,29511,31741,29703,24164
Vysočina,2021,21649,31363,43515,26592,22783,44369,32566,33319,36199,19883,28571,37622,36034,61856,41848,30735,34215,31476,26489
Vysočina,2022,21373,33437,45464,27295,20623,47463,32539,33133,38805,20075,29119,39770,36072,66904,39237,32129,35959,33021,25743
Vysočina,2023,24179,35002,49489,30097,23697,50871,35358,36818,43139,21396,31821,42885,37737,76031,41384,34091,38741,36157,26884
Vysočina,2024,26284,37806,53492,31543,24955,54123,39646,37724,44934,23562,34125,43880,38028,75413,44367,36378,41214,40757,28094
Zlínský kraj,2005,10182,15668,23506,13442,10989,25258,20704,15481,18426,8493,14309,18459,16724,18306,15397,14567,16298,15737,13260
Zlínský kraj,2006,11269,15677,23951,14535,11805,27012,21508,16143,22015,9129,15119,19593,17701,18765,16231,15189,17587,16575,14044
Zlínský kraj,2007,12045,16696,25691,16155,13170,28199,22595,17273,22481,9707,16682,21420,18587,20863,17397,16695,18719,17502,15620
Zlínský kraj,2008,12270,17304,25472,16740,13829,29569,24788,18969,25462,10315,17948,21973,19382,21922,17950,17852,20141,18732,16645
Zlínský kraj,2009,13219,18187,28198,17459,14608,31316,23345,20805,23113,10007,17750,21853,20461,24131,19212,17462,19984,19263,17466
Zlínský kraj,2010,14701,18016,26986,17115,15017,32097,24925,19909,25319,10618,17178,23594,20061,25565,19993,17542,20921,20614,18119
Zlínský kraj,2011,15492,19845,28513,17441,15356,31163,25395,20497,25726,10416,18076,23521,20359,23520,20679,18409,22079,20623,20427
Zlínský kraj,2012,15162,18963,29600,17489,14532,31914,25067,20804,30970,10861,18889,24872,20802,27704,21275,18883,22830,20717,20454
Zlínský kraj,2013,14874,16829,28677,17988,15557,30370,25117,21100,27272,10990,18886,23912,20381,30232,20331,19660,22739,21301,18179
Zlínský kraj,2014,15644,16971,31006,18491,15395,32489,26208,21304,28559,11303,19846,24848,21166,29664,21096,20815,23724,21311,19417
Zlínský kraj,2015,15939,17079,29574,18812,15990,31627,27382,22293,30183,12110,20466,25987,21358,28658,22387,21188,24461,22218,19239
Zlínský kraj,2016,17120,19121,31134,19632,16200,34189,28705,22858,29715,12947,21466,27639,22148,28406,23402,22143,25665,23150,19531
Zlínský kraj,2017,18641,22530,32975,21681,16855,35054,30851,24493,32556,14441,22929,29802,23954,29987,25578,23416,27402,24958,21644
Zlínský kraj,2018,20112,24302,36730,24688,18870,37325,32970,26555,36084,15882,24889,32507,26599,32882,28574,25428,29647,26803,23062
Zlínský kraj,2019,20954,23498,37508,26626,19529,41580,34984,28594,38399,17142,26251,34841,30326,36397,30961,27115,31308,29236,25484
Zlínský kraj,2020,21808,23779,38785,27019,20342,42495,34518,29015,33751,17087,27330,36574,33332,38031,34297,28186,31456,30462,26140
Zlínský kraj,2021,22206,28619,43813,28080,22891,50132,36469,30931,37947,19545,29522,36922,36106,40236,38457,29568,33685,31671,27744
Zlínský kraj,2022,23361,30241,46035,28933,22157,52204,39195,32803,41994,19698,30867,38456,36441,43010,36941,31912,35335,33121,28033
Zlínský kraj,2023,26028,32391,51609,31832,23329,53658,42728,34662,41813,20615,32543,41341,38485,47086,39843,33737,38559,37241,30771
Zlínský kraj,2024,25104,34365,50539,33517,25709,55901,45504,36598,49728,22478,34804,42671,38586,48561,43277,35560,41453,40259,32539
Ústecký kraj,2005,10094,16843,27507,13176,11387,25605,17790,15240,21506,8496,13481,20802,16703,25833,15497,13333,17072,16568,14121
Ústecký kraj,2006,10716,17556,27150,14370,12049,27302,17689,16090,22458,8974,14107,21548,17877,29005,16666,14032,18178,17995,14486
Ústecký kraj,2007,11464,18556,26859,15263,13316,28123,19655,17710,23291,9404,15299,23406,18815,28818,17808,15025,19572,19019,15688
Ústecký kraj,2008,12012,21583,28373,16394,13074,34215,21572,19348,25451,9617,16153,24527,19172,32412,18462,16959,20737,20750,16872
Ústecký kraj,2009,11758,20849,33575,17286,14243,34451,25526,21806,25786,9409,16323,24962,20380,37215,19569,16683,21832,21476,18099
Ústecký kraj,2010,12577,20873,28310,17867,14529,32014,22724,21497,26465,10477,16276,24938,20779,39040,20462,16422,22341,22093,17336
Ústecký kraj,2011,12459,21155,30167,17243,14398,32565,24084,21403,27521,10186,17154,24192,20386,38960,21408,16614,22864,22961,17033
Ústecký kraj,2012,13375,22009,29185,16658,14970,34170,23860,22064,28712,10345,17384,24807,20991,38051,21716,17234,23412,23751,16289
Ústecký kraj,2013,13705,23572,28496,17128,14961,32468,23683,20319,29051,10713,17554,24105,21741,38948,21933,18600,23944,23772,17244
Ústecký kraj,2014,14130,23868,29323,17360,15680,32976,23742,20815,29616,10862,18133,24703,22271,37757,22236,19975,24768,24396,16822
Ústecký kraj,2015,14439,24691,29583,18439,15333,31910,24458,22062,29852,11780,19033,25876,22435,36899,23606,19972,25547,24886,17889
Ústecký kraj,2016,15652,25758,30433,19242,15903,34940,25555,23022,29086,12579,20240,27352,23493,38263,24995,21132,27063,24828,18449
Ústecký kraj,2017,16353,25856,31432,20720,17500,35971,26825,24333,30678,13648,22044,29703,25147,41424,27250,22689,29085,26550,19420
Ústecký kraj,2018,17444,27776,31193,23224,19749,37273,28687,26182,32064,15445,23973,32915,27734,44522,29970,23892,31403,28784,19772
Ústecký kraj,2019,18346,31988,32929,26623,20513,40429,30368,28594,33998,17154,25832,35564,31017,47408,32402,26063,33718,30025,22036
Ústecký kraj,2020,19546,32487,34400,26794,22109,40462,31972,29534,35485,17033,26773,37375,33401,50031,38007,27141,34263,31303,22275
Ústecký kraj,2021,21094,32092,38233,27351,22488,43207,31954,30965,36816,19083,28275,37607,36132,52018,41436,28626,36026,30380,25804
Ústecký kraj,2022,22431,33753,41990,27673,22513,45151,33337,31483,40475,19654,29710,39241,36258,56151,38951,29391,38431,31924,33062
Ústecký kraj,2023,24415,36703,43857,30519,25138,47989,34641,34332,44781,20332,31750,42346,38138,61807,41249,31003,41413,35081,32261
Ústecký kraj,2024,26130,39255,49770,32698,28041,55103,38663,37946,46711,22437,34051,43823,38650,62547,44075,33183,44238,38141,34815
